rank,name,homepage,page_url,feed_url,link_text,depth
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press,http://web.mit.edu/feedback,Suggestions or feedback?,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press,https://web.mit.edu/rss,RSS Feeds,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/,https://web.mit.edu/feedback,Suggestions or feedback?,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news,http://web.mit.edu/feedback,Suggestions or feedback?,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news,https://web.mit.edu/rss,RSS Feeds,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#main,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#main,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/feedback,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/mit-daily-weekly/,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/subscribe/,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research,https://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/feedback,https://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#main,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#main,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#recent-news,http://web.mit.edu/feedback,Suggestions or feedback?,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/news#recent-news,https://web.mit.edu/rss,RSS Feeds,1
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research/centers-labs-programs/,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research/research-alliances/,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/feedback#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-journalists#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/filming-guidelines#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/expert-guides#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research#main,https://web.mit.edu/feedback,Suggestions or feedback?,2
